Contest_ID,QB,RB,WR,WR/TE,FLEX,,Sport: Football
,,,,,,,Contest Type: Classic
,,,,,,,Game Slate: Sun 11/12 1:00 PM ET (10 Events)

,,,,,,,Instructions:
,,,,,,,SCROLL RIGHT FOR YOUR CONTEST ID LIST
,,,,,,,1. Create lineups by filling out the Contest_ID and position columns to the left.
,,,,,,,2. Each row represents a single entry.
,,,,,,,"3. To build an entry, select the Contest ID for the contest you would like to enter (provided to the right) and place it in the Contest_ID column."
,,,,,,,4. Complete the entry by placing the unique ID for each card (provided below) into a corresponding position column.
,,,,,,,5. Export this file as a CSV and re-upload it into Reignmakers at: https://www.draftkings.com/nftgames/bulkentry/upload
,,,,,,,
,,,,,,,Reminders:
,,,,,,,1. Cards must remain in your RM collection to be accepted.
,,,,,,,2. Cards must not be in another active Reignmakers entry to be accepted.
,,,,,,,3. Cards must map to an eligible position to be accepted.
,,,,,,,4. All columns in each row must be filled out for the lineup to be accepted.
,,,,,,,"5. Lineups must meet any contest rarity or other gating requirements (superstar, or series etc)."
,,,,,,,"6. Only contest IDs listed to the right will be accepted."
,,,,,,,"7. The csv will be evaluated from top to bottom, so if a later entry conflicts with an earlier entry, the earlier entry will be entered and the later entry will be rejected."
,,,,,,,8. Cards included in templates are not filtered based on set or other contest attribute requirements.
,,,,,,,"9. For set-restricted contests, double-check that your entries contain only cards from eligible sets."

,,,,,,,All Owned Cards Eligible for a Contest of this Slate,,,,,,,,,,,,,,,,,All Contests of Selected Slate
,,,,,,,RB,Tyjae Spears, ,2023, ,Core,Rookie Debut,1619,6442fd50-2097-4d3b-ad81-bc373f367f3e,6442fd50-2097-4d3b-ad81-bc373f367f3e+1619,RB|FLEX,No,TEN @ TB 11/12 1:00 PM ET,TEN,7.75,No,,153869509,Free,"Classic - RARE Featured Player [Austin Ekeler  ELITE to Top 3]",Sun 11/12 1:00 PM ET,Rare,20,"50 Packs",Classic,"","",
,,,,,,,WR,Jaxon Smith-Njigba, ,2023, ,Core,Rookie Debut,1118,c7bdfdef-2bd3-4450-829e-d3c8bbb186c7,c7bdfdef-2bd3-4450-829e-d3c8bbb186c7+1118,WR|WR/TE|FLEX,No,WAS @ SEA 11/12 4:25 PM ET,SEA,8.53,No,,153818377,Free,"Classic - ELITE $100K GTD Cash [$20K to 1st]",Sun 11/12 1:00 PM ET,Elite,150,"$100,000.00",Classic,"","",
,,,,,,,WR,Jaxon Smith-Njigba, ,2023, ,Core,Rookie Debut,2497,c7bdfdef-2bd3-4450-829e-d3c8bbb186c7,c7bdfdef-2bd3-4450-829e-d3c8bbb186c7+2497,WR|WR/TE|FLEX,No,WAS @ SEA 11/12 4:25 PM ET,SEA,8.53,No,,153818378,Free,"Classic - ELITE $15K Bankroll Booster [Top 150 win $100]",Sun 11/12 1:00 PM ET,Elite,20,"$15,000.00",Classic,"","",
,,,,,,,WR,Jordan Addison, ,2023, ,Core,Rookie Debut,27,a14758ea-bb9c-46ea-84c4-66667784e51e,a14758ea-bb9c-46ea-84c4-66667784e51e+27,WR|WR/TE|FLEX,No,NO @ MIN 11/12 1:00 PM ET,MIN,15.51,No,,153818379,Free,"Classic - ELITE $20K Single Entry [$2K to 1st]",Sun 11/12 1:00 PM ET,Elite,1,"$20,000.00",Classic,"","",
,,,,,,,WR,Jayden Reed, ,2023, ,Core,Rookie Debut,2335,381094ea-4382-4e68-ab87-05e8a346f848,381094ea-4382-4e68-ab87-05e8a346f848+2335,WR|WR/TE|FLEX,No,GB @ PIT 11/12 1:00 PM ET,GB,9.78,No,,153818380,Free,"Classic - ELITE Prize Pack Party [Top 20 LEGENDARY Packs, Top 322 Win]",Sun 11/12 1:00 PM ET,Elite,100,"302 Packs",Classic,"","",
,,,,,,,QB,Will Levis, ,2023, ,Rare,Rookie Debut,474,00080d5e-2b6b-4c7f-bf3d-0ef608a8a999,00080d5e-2b6b-4c7f-bf3d-0ef608a8a999+474,QB,No,TEN @ TB 11/12 1:00 PM ET,TEN,18.15,No,,153818381,Free,"Classic - ELITE RMFWC Qualifier #31 [1st Qualifies for $1M World Championship!]",Sun 11/12 1:00 PM ET,Elite,20,"1 Ticket",Classic,"","",
,,,,,,,RB,Bijan Robinson, ,2023, ,Rare,Rookie Debut,345,c544f797-9093-4e87-9af9-774daa05bcbc,c544f797-9093-4e87-9af9-774daa05bcbc+345,RB|FLEX,No,ATL @ ARI 11/12 4:05 PM ET,ATL,13.49,No,,153818382,Free,"Classic - ELITE RMFWC Qualifier #32 Play-Action Set Gated [1st Qualifies for $1M World Championship!",Sun 11/12 1:00 PM ET,Elite,20,"1 Ticket",Classic,"","[NFL 2023] Must have 5 cards from Play-Action set",
,,,,,,,RB,Jahmyr Gibbs, ,2023, ,Rare,Rookie Debut,469,1ec939da-74c1-49b1-8d8c-0cded9b05f14,1ec939da-74c1-49b1-8d8c-0cded9b05f14+469,RB|FLEX,No,DET @ LAC 11/12 4:05 PM ET,DET,16.57,No,,153869510,Free,"Classic - ELITE Featured Player [Josh Allen LEGENDARY to 1st]",Sun 11/12 1:00 PM ET,Elite,20,"10 Packs",Classic,"","",
,,,,,,,WR,Jaxon Smith-Njigba, ,2023, ,Rare,Rookie Debut,288,6268ad36-22f9-492f-8298-ade6e6497088,6268ad36-22f9-492f-8298-ade6e6497088+288,WR|WR/TE|FLEX,No,WAS @ SEA 11/12 4:25 PM ET,SEA,8.53,No,,153818383,Free,"Classic - LEGENDARY $130K GTD Cash [$50K to 1st]",Sun 11/12 1:00 PM ET,Legendary,150,"$130,000.00",Classic,"","",
,,,,,,,WR,Zay Flowers, ,2023, ,Core,Rookie Debut,751,cafde9e2-5a5e-4c6f-8598-a5538a8ce219,cafde9e2-5a5e-4c6f-8598-a5538a8ce219+751,WR|WR/TE|FLEX,No,CLE @ BAL 11/12 1:00 PM ET,BAL,11.04,No,,153818384,Free,"Classic - LEGENDARY $10K Bankroll Booster [Top 20 win $500]",Sun 11/12 1:00 PM ET,Legendary,20,"$10,000.00",Classic,"","",
