"Player","Team","Position","DK","FD","Std","Half","Full","DK Ceiling","FD Ceiling"
"Stanley Morgan","CIN","WR","0.6","0.5","0.4","0.5","0.6","2.5","2.0"
"Sean McKeon","DAL","TE","0.6","0.5","0.4","0.5","0.6","2.4","1.9"
"D'Ernest Johnson","JAX","RB","0.6","0.5","0.5","0.5","0.6","2.2","1.9"
"Stone Smartt","LAC","TE","0.6","0.5","0.4","0.5","0.6","2.4","1.9"
"Adam Prentice","NO","RB","0.6","0.4","0.3","0.4","0.6","2.2","1.7"
"Ray-Ray McCloud","SF","WR","0.6","0.5","0.4","0.5","0.6","2.2","1.8"
"Ross Dwelley","SF","TE","0.6","0.5","0.4","0.5","0.6","2.3","1.9"
"Michael Burton","DEN","RB","0.5","0.4","0.4","0.4","0.5","1.9","1.6"
"Juwann Winfree","IND","WR","0.5","0.4","0.3","0.4","0.5","2.0","1.7"
"Johnny Mundt","MIN","TE","0.5","0.4","0.3","0.4","0.5","2.1","1.6"
"Sterling Shepard","NYG","WR","0.5","0.4","0.3","0.4","0.5","1.8","1.5"
"Chris Evans","CIN","RB","0.4","0.3","0.2","0.3","0.4","1.5","1.2"
"Craig Reynolds","DET","RB","0.4","0.4","0.4","0.4","0.4","1.7","1.6"
"Tucker Kraft","GB","TE","0.5","0.4","0.3","0.4","0.4","1.7","1.4"
"Dare Ogunbowale","HOU","RB","0.4","0.3","0.2","0.3","0.4","1.4","1.2"
"Lynn Bowden","NO","WR","0.4","0.3","0.2","0.3","0.4","1.5","1.2"
"Trevon Wesco","TEN","TE","0.4","0.3","0.2","0.3","0.4","1.4","1.2"
"Greg Dortch","ARI","WR","0.3","0.2","0.2","0.2","0.3","1.1","0.8"
"Reggie Gilliam","BUF","TE","0.3","0.2","0.2","0.2","0.3","1.2","1.0"
"Trent Taylor","CHI","WR","0.3","0.3","0.2","0.3","0.3","1.2","1.0"
"Tre'Quan Smith","DEN","WR","0.3","0.2","0.2","0.2","0.3","1.1","0.9"
"Antoine Green","DET","WR","0.3","0.3","0.2","0.3","0.3","1.3","1.0"
"Elijah Cooks","JAX","WR","0.3","0.2","0.2","0.2","0.3","1.1","0.9"
"DeAndre Carter","LV","WR","0.3","0.3","0.2","0.3","0.3","1.2","1.0"
"Simi Fehoko","LAC","WR","0.3","0.3","0.2","0.3","0.3","1.2","1.0"
"Nick Vannett","LAC","TE","0.3","0.2","0.2","0.2","0.3","1.1","0.9"
"N'Keal Harry","MIN","WR","0.3","0.2","0.2","0.2","0.3","1.0","0.8"
"Miles Boykin","PIT","WR","0.3","0.2","0.2","0.2","0.3","1.0","0.8"
"Ronnie Bell","SF","WR","0.3","0.2","0.2","0.2","0.3","1.1","0.9"
"Charlie Woerner","SF","TE","0.3","0.2","0.2","0.2","0.3","1.0","0.8"
"DeeJay Dallas","SEA","RB","0.3","0.2","0.1","0.2","0.3","1.2","0.9"
"D'Wayne Eskridge","SEA","WR","0.3","0.3","0.3","0.3","0.3","1.2","1.1"
"Ko Kieft","TB","TE","0.3","0.2","0.2","0.2","0.3","1.1","0.9"
"Devin Duvernay","BAL","WR","0.2","0.2","0.1","0.2","0.2","0.9","0.7"
"Charlie Kolar","BAL","TE","0.2","0.2","0.1","0.2","0.2","0.9","0.7"
"Marcedes Lewis","CHI","TE","0.2","0.2","0.1","0.2","0.2","0.9","0.7"
"Mitchell Wilcox","CIN","TE","0.2","0.1","0.1","0.1","0.2","0.6","0.5"
"Austin Watkins","CLE","WR","0.2","0.2","0.1","0.2","0.2","0.9","0.7"
"Malik Heath","GB","WR","0.2","0.2","0.1","0.2","0.2","0.8","0.7"
"Ben Sims","GB","TE","0.2","0.2","0.1","0.2","0.2","0.9","0.7"
"Andrew Beck","HOU","TE","0.2","0.2","0.2","0.2","0.2","0.7","0.7"
"Irvin Charles","NYJ","WR","0.2","0.2","0.1","0.2","0.2","0.9","0.8"
"Emanuel Wilson","GB","RB","0.1","0.1","0.1","0.1","0.1","0.8","0.7"
"Jesper Horsted","LV","TE","0.1","0.1","0.1","0.1","0.1","0.4","0.3"
"A.T. Perry","NO","WR","0.1","0.1","0.1","0.1","0.1","0.6","0.4"
"Nick Bawden","NYJ","RB","0.1","0.1","0.1","0.1","0.1","0.6","0.5"
"Kevin Rader","TEN","TE","0.1","0.1","0.1","0.1","0.1","0.5","0.4"
"Alex Armah","WAS","RB","0.1","0.1","0.1","0.1","0.1","0.6","0.5"
