Contest_ID,CPT,FLEX,FLEX,FLEX,,Sport: Football
,,,,,,Contest Type: Showdown
,,,,,,Game Slate: Sun 11/12 8:20 PM ET (1 Event)

,,,,,,Instructions:
,,,,,,SCROLL RIGHT FOR YOUR CONTEST ID LIST
,,,,,,1. Create lineups by filling out the Contest_ID and position columns to the left.
,,,,,,2. Each row represents a single entry.
,,,,,,"3. To build an entry, select the Contest ID for the contest you would like to enter (provided to the right) and place it in the Contest_ID column."
,,,,,,4. Complete the entry by placing the unique ID for each card (provided below) into a corresponding position column.
,,,,,,5. Export this file as a CSV and re-upload it into Reignmakers at: https://www.draftkings.com/nftgames/bulkentry/upload
,,,,,,
,,,,,,Reminders:
,,,,,,1. Cards must remain in your RM collection to be accepted.
,,,,,,2. Cards must not be in another active Reignmakers entry to be accepted.
,,,,,,3. Cards must map to an eligible position to be accepted.
,,,,,,4. All columns in each row must be filled out for the lineup to be accepted.
,,,,,,"5. Lineups must meet any contest rarity or other gating requirements (superstar, or series etc)."
,,,,,,"6. Only contest IDs listed to the right will be accepted."
,,,,,,"7. The csv will be evaluated from top to bottom, so if a later entry conflicts with an earlier entry, the earlier entry will be entered and the later entry will be rejected."
,,,,,,8. Cards included in templates are not filtered based on set or other contest attribute requirements.
,,,,,,"9. For set-restricted contests, double-check that your entries contain only cards from eligible sets."

,,,,,,All Owned Cards Eligible for a Contest of this Slate,,,,,,,,,,,,,,,,,All Contests of Selected Slate
,,,,,,Position,Name,Status,Card Year,Event Date,Card Rarity,Card Set,Card Edition,Card Key,Unique ID,Roster Pos,Superstar,Game Info,TeamAbbrev,AvgPointsPerGame,InExistingEntry,,Contest ID,Entry Fee,Contest Name,Game Slate,Rarity Tier,Entries Per User,Prizes,Contest Type,Portfolio Gating Rules,Lineup Gating Rules
,,,,,,K,Daniel Carlson, ,2023, ,Core,Play-Action,1599,14ee91e2-b975-4456-8987-2a4e9043d682,14ee91e2-b975-4456-8987-2a4e9043d682+1599,FLEX|CPT,No,NYJ @ LV 11/12 8:20 PM ET,LV,6.67,No,,153818414,Free,"Showdown - REIGNMAKER $20K GTD Cash [$5K to 1st] (NYJ vs LV)",Sun 11/12 8:20 PM ET,Reignmaker,150,"$20,000.00",Showdown,"","",
,,,,,,DE,Maxx Crosby,Q,2023, ,Core,Play-Action,261,8d38c757-4932-44f5-8c8f-7cf709971f98,8d38c757-4932-44f5-8c8f-7cf709971f98+261,FLEX|CPT,No,NYJ @ LV 11/12 8:20 PM ET,LV,7.00,No,,153818415,Free,"Showdown - REIGNMAKER $4444 DFS FF Millionaire Satellite [Winner Take All] (NYJ vs LV)",Sun 11/12 8:20 PM ET,Reignmaker,20,"1 Ticket",Showdown,"","",
,,,,,,DE,Tyree Wilson, ,2023, ,Core,Play-Action,578,eb012636-adc6-4aa5-bb4b-0c42d88b30f6,eb012636-adc6-4aa5-bb4b-0c42d88b30f6+578,FLEX|CPT,No,NYJ @ LV 11/12 8:20 PM ET,LV,7.00,No,,
,,,,,,QB,Trevor Siemian, ,2023, ,Core,Play-Action,235,5ba15315-d07e-4487-9a96-10f085692127,5ba15315-d07e-4487-9a96-10f085692127+235,FLEX|CPT,No,NYJ @ LV 11/12 8:20 PM ET,NYJ,0.00,No,,
,,,,,,WR,Garrett Wilson, ,2023, ,Core,Booster,1785,e995afe9-f3d0-4c3e-b8ea-c544ab09cf29,e995afe9-f3d0-4c3e-b8ea-c544ab09cf29+1785,FLEX|CPT,No,NYJ @ LV 11/12 8:20 PM ET,NYJ,14.44,No,,
,,,,,,RB,Zamir White, ,2023, ,Core,Rush,132,c8441d13-864a-4cc1-85e8-90ca969feea0,c8441d13-864a-4cc1-85e8-90ca969feea0+132,FLEX|CPT,No,NYJ @ LV 11/12 8:20 PM ET,LV,1.43,No,,
,,,,,,RB,Zamir White, ,2023, ,Core,Rush,196,c8441d13-864a-4cc1-85e8-90ca969feea0,c8441d13-864a-4cc1-85e8-90ca969feea0+196,FLEX|CPT,No,NYJ @ LV 11/12 8:20 PM ET,LV,1.43,No,,
,,,,,,RB,Zamir White, ,2023, ,Core,Rush,402,c8441d13-864a-4cc1-85e8-90ca969feea0,c8441d13-864a-4cc1-85e8-90ca969feea0+402,FLEX|CPT,No,NYJ @ LV 11/12 8:20 PM ET,LV,1.43,No,,
,,,,,,RB,Zamir White, ,2023, ,Core,Rush,414,c8441d13-864a-4cc1-85e8-90ca969feea0,c8441d13-864a-4cc1-85e8-90ca969feea0+414,FLEX|CPT,No,NYJ @ LV 11/12 8:20 PM ET,LV,1.43,No,,
,,,,,,WR,Jakobi Meyers, ,2023, ,Core,Rush,77,b0515184-1834-4cbf-95c2-6cd1a2c6f238,b0515184-1834-4cbf-95c2-6cd1a2c6f238+77,FLEX|CPT,No,NYJ @ LV 11/12 8:20 PM ET,LV,15.24,No,,
